,year,label_child,count_child,label_hapmar,count_hapmar,label_income,count_x,label_divorced,count_y
207,1973,2,287,3,25,8,115,2,866
208,1973,2,287,3,25,9,295,1,126
209,1973,2,287,3,25,9,295,2,866
210,1973,2,287,3,25,10,142,1,126
211,1973,2,287,3,25,10,142,2,866
212,1973,2,287,3,25,11,85,1,126
213,1973,2,287,3,25,11,85,2,866
214,1973,2,287,3,25,12,72,1,126
215,1973,2,287,3,25,12,72,2,866
216,1973,3,180,1,674,1,11,1,126
217,1973,3,180,1,674,1,11,2,866
218,1973,3,180,1,674,2,38,1,126
219,1973,3,180,1,674,2,38,2,866
220,1973,3,180,1,674,3,50,1,126
221,1973,3,180,1,674,3,50,2,866
222,1973,3,180,1,674,4,46,1,126
223,1973,3,180,1,674,4,46,2,866
224,1973,3,180,1,674,5,45,1,126
225,1973,3,180,1,674,5,45,2,866
226,1973,3,180,1,674,6,30,1,126
227,1973,3,180,1,674,6,30,2,866
228,1973,3,180,1,674,7,63,1,126
229,1973,3,180,1,674,7,63,2,866
230,1973,3,180,1,674,8,115,1,126
231,1973,3,180,1,674,8,115,2,866
232,1973,3,180,1,674,9,295,1,126
233,1973,3,180,1,674,9,295,2,866
234,1973,3,180,1,674,10,142,1,126
235,1973,3,180,1,674,10,142,2,866
236,1973,3,180,1,674,11,85,1,126
237,1973,3,180,1,674,11,85,2,866
238,1973,3,180,1,674,12,72,1,126
239,1973,3,180,1,674,12,72,2,866
240,1973,3,180,2,293,1,11,1,126
241,1973,3,180,2,293,1,11,2,866
242,1973,3,180,2,293,2,38,1,126
243,1973,3,180,2,293,2,38,2,866
244,1973,3,180,2,293,3,50,1,126
245,1973,3,180,2,293,3,50,2,866
246,1973,3,180,2,293,4,46,1,126
247,1973,3,180,2,293,4,46,2,866
248,1973,3,180,2,293,5,45,1,126
249,1973,3,180,2,293,5,45,2,866
250,1973,3,180,2,293,6,30,1,126
251,1973,3,180,2,293,6,30,2,866
252,1973,3,180,2,293,7,63,1,126
253,1973,3,180,2,293,7,63,2,866
254,1973,3,180,2,293,8,115,1,126
255,1973,3,180,2,293,8,115,2,866
256,1973,3,180,2,293,9,295,1,126
257,1973,3,180,2,293,9,295,2,866
258,1973,3,180,2,293,10,142,1,126
259,1973,3,180,2,293,10,142,2,866
260,1973,3,180,2,293,11,85,1,126
261,1973,3,180,2,293,11,85,2,866
262,1973,3,180,2,293,12,72,1,126
263,1973,3,180,2,293,12,72,2,866
264,1973,3,180,3,25,1,11,1,126
265,1973,3,180,3,25,1,11,2,866
266,1973,3,180,3,25,2,38,1,126
267,1973,3,180,3,25,2,38,2,866
268,1973,3,180,3,25,3,50,1,126
269,1973,3,180,3,25,3,50,2,866
270,1973,3,180,3,25,4,46,1,126
271,1973,3,180,3,25,4,46,2,866
272,1973,3,180,3,25,5,45,1,126
273,1973,3,180,3,25,5,45,2,866
274,1973,3,180,3,25,6,30,1,126
275,1973,3,180,3,25,6,30,2,866
276,1973,3,180,3,25,7,63,1,126
277,1973,3,180,3,25,7,63,2,866
278,1973,3,180,3,25,8,115,1,126
279,1973,3,180,3,25,8,115,2,866
280,1973,3,180,3,25,9,295,1,126
281,1973,3,180,3,25,9,295,2,866
282,1973,3,180,3,25,10,142,1,126
283,1973,3,180,3,25,10,142,2,866
284,1973,3,180,3,25,11,85,1,126
285,1973,3,180,3,25,11,85,2,866
286,1973,3,180,3,25,12,72,1,126
287,1973,3,180,3,25,12,72,2,866
288,1973,4,119,1,674,1,11,1,126
